,voltage,Cd_50_ppb_0,Cd_50_ppb_1,Cd_50_ppb_2,Cd_50_ppb_3,Cd_125_ppb_4,Cd_125_ppb_5,Cd_125_ppb_6,Cd_125_ppb_7,Cd_250_ppb_8,Cd_250_ppb_9,Cd_250_ppb_10,Cd_250_ppb_11,Cd_375_ppb_12,Cd_375_ppb_13,Cd_375_ppb_14,Cd_375_ppb_15,Cd_500_ppb_16,Cd_500_ppb_17,Cd_500_ppb_18,Cd_500_ppb_19,Cd_625_ppb_20,Cd_625_ppb_21,Cd_625_ppb_22,Cd_625_ppb_23,Cd_750_ppb_24,Cd_750_ppb_25,Cd_750_ppb_26,Cd_750_ppb_27,Cd_825_ppb_28,Cd_825_ppb_29,Cd_825_ppb_30,Cd_825_ppb_31,Cd_1000_ppb_32,Cd_1000_ppb_33,Cd_1000_ppb_34,Cd_1000_ppb_35
0,1.0,-0.558338,-0.682413,-0.558338,-0.620375,-0.682413,-0.74445,-0.74445,-0.868525,-0.868525,-1.054638,-0.930563,-0.868525,-1.116675,-1.24075,-1.116675,-1.302788,-1.302788,-1.426863,-1.364825,-1.550938,-1.675013,-1.861125,-1.73705,-1.861125,-1.9852,-2.295388,-2.047238,-2.295388,-2.357425,-2.667613,-2.357425,-2.605575,-3.101875,-3.4741,-3.039838,-3.350025
1,0.996,-0.620375,-0.682413,-0.4963,-0.620375,-0.682413,-0.806488,-0.806488,-0.868525,-0.930563,-0.9926,-0.9926,-0.868525,-1.178713,-1.24075,-1.178713,-1.302788,-1.426863,-1.612975,-1.426863,-1.612975,-1.73705,-1.9852,-1.799088,-2.047238,-2.109275,-2.419463,-2.109275,-2.357425,-2.419463,-2.853725,-2.419463,-2.72965,-3.22595,-3.660213,-3.163913,-3.536138
2,0.992,-0.4963,-0.620375,-0.4963,-0.620375,-0.74445,-0.806488,-0.74445,-0.930563,-0.868525,-0.9926,-0.9926,-0.930563,-1.116675,-1.302788,-1.178713,-1.364825,-1.364825,-1.550938,-1.4889,-1.612975,-1.73705,-1.923163,-1.799088,-1.9852,-2.109275,-2.357425,-2.109275,-2.419463,-2.4815,-2.915763,-2.419463,-2.72965,-3.22595,-3.598175,-3.101875,-3.536138
3,0.988,-0.558338,-0.620375,-0.4963,-0.558338,-0.682413,-0.806488,-0.74445,-0.868525,-0.868525,-0.9926,-0.9926,-0.868525,-1.116675,-1.24075,-1.116675,-1.302788,-1.364825,-1.4889,-1.426863,-1.612975,-1.73705,-1.9852,-1.73705,-1.9852,-2.109275,-2.295388,-2.109275,-2.357425,-2.4815,-2.791688,-2.357425,-2.72965,-3.22595,-3.598175,-3.039838,-3.412063
4,0.984,-0.558338,-0.558338,-0.434263,-0.558338,-0.682413,-0.806488,-0.74445,-0.806488,-0.806488,-0.9926,-0.930563,-0.806488,-1.116675,-1.178713,-1.116675,-1.302788,-1.302788,-1.550938,-1.364825,-1.550938,-1.73705,-1.923163,-1.73705,-1.923163,-2.047238,-2.295388,-2.109275,-2.357425,-2.419463,-2.853725,-2.357425,-2.667613,-3.163913,-3.598175,-3.039838,-3.4741
5,0.98,-0.4963,-0.620375,-0.434263,-0.558338,-0.620375,-0.74445,-0.682413,-0.868525,-0.868525,-0.930563,-0.930563,-0.868525,-1.054638,-1.178713,-1.116675,-1.302788,-1.364825,-1.4889,-1.426863,-1.550938,-1.675013,-1.923163,-1.73705,-1.923163,-2.047238,-2.295388,-2.109275,-2.295388,-2.357425,-2.791688,-2.295388,-2.667613,-3.101875,-3.536138,-2.9778,-3.412063
6,0.976,-0.4963,-0.558338,-0.4963,-0.558338,-0.620375,-0.74445,-0.682413,-0.868525,-0.868525,-0.930563,-0.868525,-0.868525,-1.054638,-1.24075,-1.116675,-1.302788,-1.364825,-1.4889,-1.426863,-1.550938,-1.675013,-1.861125,-1.73705,-1.923163,-2.047238,-2.23335,-2.047238,-2.23335,-2.357425,-2.791688,-2.295388,-2.667613,-3.101875,-3.4741,-2.9778,-3.412063
7,0.972,-0.4963,-0.558338,-0.4963,-0.4963,-0.682413,-0.806488,-0.74445,-0.74445,-0.868525,-0.930563,-0.868525,-0.74445,-1.116675,-1.178713,-1.116675,-1.302788,-1.302788,-1.4889,-1.364825,-1.550938,-1.612975,-1.861125,-1.73705,-1.923163,-1.9852,-2.295388,-2.047238,-2.295388,-2.357425,-2.791688,-2.295388,-2.605575,-3.101875,-3.4741,-2.915763,-3.350025
8,0.968,-0.434263,-0.620375,-0.434263,-0.558338,-0.682413,-0.74445,-0.682413,-0.868525,-0.868525,-0.9926,-0.868525,-0.868525,-0.9926,-1.178713,-1.116675,-1.302788,-1.302788,-1.4889,-1.364825,-1.4889,-1.675013,-1.861125,-1.675013,-1.861125,-2.047238,-2.295388,-2.047238,-2.171313,-2.295388,-2.72965,-2.295388,-2.605575,-3.039838,-3.4741,-2.915763,-3.350025
9,0.964,-0.434263,-0.558338,-0.434263,-0.558338,-0.620375,-0.682413,-0.74445,-0.806488,-0.806488,-0.930563,-0.868525,-0.806488,-1.054638,-1.178713,-1.116675,-1.24075,-1.302788,-1.4889,-1.364825,-1.4889,-1.675013,-1.861125,-1.612975,-1.861125,-2.047238,-2.23335,-1.9852,-2.23335,-2.357425,-2.667613,-2.295388,-2.605575,-3.101875,-3.4741,-2.915763,-3.350025
