,voltage,Cu_500_ppb_0,Cu_500_ppb_1,Cu_500_ppb_2,Cu_500_ppb_3,Cu_500_ppb_4,Cu_500_ppb_5,Cu_500_ppb_6,Cu_500_ppb_7,Cu_1000_ppb_8,Cu_1000_ppb_9,Cu_1000_ppb_10,Cu_1000_ppb_11,Cu_1000_ppb_12,Cu_1000_ppb_13,Cu_1000_ppb_14,Cu_2000_ppb_15,Cu_2000_ppb_16,Cu_2000_ppb_17,Cu_2000_ppb_18,Cu_2000_ppb_19,Cu_2000_ppb_20,Cu_3000_ppb_21,Cu_3000_ppb_22
0,1.0,-3.22595,-4.032438,-0.4963,-0.806488,-0.434263,-0.558338,-0.434263,-0.558338,-2.9778,-3.22595,-0.682413,-0.620375,-0.74445,-0.558338,-1.364825,-1.116675,-2.853725,-2.23335,-2.9778,-0.868525,-0.930563,-0.74445,-1.302788
1,0.996,-3.350025,-4.094475,-0.558338,-0.74445,-0.4963,-0.558338,-0.434263,-0.4963,-2.915763,-3.101875,-0.74445,-0.558338,-0.74445,-0.620375,-1.302788,-1.178713,-2.72965,-2.23335,-2.915763,-0.868525,-0.930563,-0.74445,-1.364825
2,0.992,-3.350025,-4.094475,-0.558338,-0.74445,-0.434263,-0.558338,-0.434263,-0.4963,-2.9778,-3.163913,-0.682413,-0.620375,-0.74445,-0.558338,-1.302788,-1.116675,-2.605575,-2.295388,-2.915763,-0.806488,-0.9926,-0.74445,-1.364825
3,0.988,-3.350025,-4.094475,-0.4963,-0.74445,-0.434263,-0.558338,-0.434263,-0.4963,-2.915763,-3.039838,-0.682413,-0.620375,-0.682413,-0.558338,-1.24075,-1.054638,-2.543538,-2.171313,-2.791688,-0.806488,-0.9926,-0.682413,-1.302788
4,0.984,-3.350025,-4.094475,-0.558338,-0.74445,-0.434263,-0.4963,-0.434263,-0.434263,-2.853725,-2.9778,-0.682413,-0.558338,-0.74445,-0.558338,-1.24075,-1.054638,-2.419463,-2.23335,-2.667613,-0.868525,-0.868525,-0.74445,-1.364825
5,0.98,-3.287988,-4.094475,-0.4963,-0.682413,-0.372225,-0.4963,-0.372225,-0.4963,-2.915763,-2.915763,-0.682413,-0.558338,-0.682413,-0.558338,-1.178713,-1.116675,-2.357425,-2.295388,-2.667613,-0.806488,-0.9926,-0.682413,-1.302788
6,0.976,-3.350025,-4.094475,-0.558338,-0.682413,-0.434263,-0.4963,-0.372225,-0.4963,-2.915763,-2.915763,-0.682413,-0.558338,-0.682413,-0.4963,-1.178713,-1.116675,-2.23335,-2.295388,-2.605575,-0.806488,-0.868525,-0.682413,-1.302788
7,0.972,-3.287988,-4.032438,-0.434263,-0.682413,-0.372225,-0.4963,-0.372225,-0.4963,-2.853725,-2.915763,-0.682413,-0.558338,-0.682413,-0.558338,-1.178713,-0.9926,-2.109275,-2.171313,-2.605575,-0.806488,-0.930563,-0.682413,-1.302788
8,0.968,-3.350025,-4.032438,-0.558338,-0.620375,-0.434263,-0.558338,-0.310188,-0.434263,-2.915763,-2.915763,-0.682413,-0.558338,-0.620375,-0.558338,-1.116675,-1.054638,-2.109275,-2.171313,-2.605575,-0.806488,-0.930563,-0.620375,-1.24075
9,0.964,-3.287988,-4.156513,-0.4963,-0.682413,-0.434263,-0.4963,-0.434263,-0.434263,-2.853725,-2.853725,-0.682413,-0.558338,-0.682413,-0.558338,-1.116675,-1.054638,-2.047238,-2.171313,-2.543538,-0.806488,-0.868525,-0.682413,-1.302788
10,0.96,-3.350025,-4.032438,-0.4963,-0.620375,-0.434263,-0.4963,-0.434263,-0.434263,-2.853725,-2.853725,-0.682413,-0.558338,-0.682413,-0.558338,-1.116675,-1.054638,-1.9852,-2.23335,-2.543538,-0.74445,-0.868525,-0.682413,-1.302788
11,0.956,-3.287988,-4.094475,-0.4963,-0.620375,-0.372225,-0.4963,-0.372225,-0.434263,-2.853725,-2.853725,-0.682413,-0.558338,-0.682413,-0.558338,-1.054638,-1.054638,-1.923163,-2.171313,-2.4815,-0.806488,-0.868525,-0.682413,-1.302788
12,0.952,-3.287988,-4.032438,-0.4963,-0.620375,-0.372225,-0.4963,-0.372225,-0.434263,-2.853725,-2.791688,-0.682413,-0.558338,-0.620375,-0.558338,-1.116675,-0.9926,-1.923163,-2.23335,-2.543538,-0.806488,-0.868525,-0.620375,-1.24075
13,0.948,-3.22595,-4.094475,-0.4963,-0.620375,-0.372225,-0.4963,-0.310188,-0.434263,-2.853725,-2.791688,-0.682413,-0.558338,-0.682413,-0.558338,-1.054638,-1.054638,-1.923163,-2.171313,-2.419463,-0.806488,-0.868525,-0.682413,-1.24075
14,0.944,-3.22595,-4.032438,-0.4963,-0.558338,-0.372225,-0.4963,-0.372225,-0.434263,-2.915763,-2.853725,-0.682413,-0.558338,-0.682413,-0.4963,-1.054638,-1.054638,-1.861125,-2.23335,-2.4815,-0.806488,-0.930563,-0.682413,-1.24075
15,0.94,-3.287988,-4.094475,-0.434263,-0.620375,-0.372225,-0.4963,-0.372225,-0.4963,-2.853725,-2.791688,-0.620375,-0.4963,-0.620375,-0.620375,-1.054638,-0.9926,-1.799088,-2.171313,-2.357425,-0.806488,-0.930563,-0.620375,-1.302788
16,0.9359999999999999,-3.22595,-4.094475,-0.558338,-0.620375,-0.372225,-0.4963,-0.372225,-0.4963,-2.915763,-2.791688,-0.620375,-0.4963,-0.682413,-0.558338,-1.054638,-0.9926,-1.799088,-2.23335,-2.357425,-0.806488,-0.868525,-0.682413,-1.302788
17,0.9319999999999999,-3.287988,-4.094475,-0.434263,-0.620375,-0.372225,-0.4963,-0.372225,-0.372225,-2.853725,-2.853725,-0.682413,-0.4963,-0.620375,-0.620375,-1.054638,-0.9926,-1.799088,-2.171313,-2.357425,-0.74445,-0.868525,-0.620375,-1.302788
18,0.9279999999999999,-3.287988,-4.094475,-0.434263,-0.620375,-0.372225,-0.4963,-0.372225,-0.4963,-2.853725,-2.791688,-0.682413,-0.4963,-0.620375,-0.620375,-1.054638,-1.054638,-1.799088,-2.171313,-2.357425,-0.74445,-0.868525,-0.620375,-1.302788
19,0.9239999999999999,-3.287988,-4.094475,-0.4963,-0.558338,-0.372225,-0.4963,-0.372225,-0.4963,-2.853725,-2.9778,-0.620375,-0.4963,-0.682413,-0.620375,-0.9926,-1.054638,-1.73705,-2.23335,-2.419463,-0.74445,-0.868525,-0.682413,-1.24075
20,0.9199999999999999,-3.287988,-4.094475,-0.558338,-0.620375,-0.372225,-0.434263,-0.372225,-0.4963,-2.853725,-2.853725,-0.682413,-0.4963,-0.682413,-0.558338,-1.054638,-1.054638,-1.799088,-2.171313,-2.357425,-0.74445,-0.868525,-0.682413,-1.302788
21,0.9159999999999999,-3.287988,-4.094475,-0.4963,-0.558338,-0.434263,-0.4963,-0.434263,-0.434263,-2.791688,-2.853725,-0.682413,-0.558338,-0.682413,-0.620375,-0.9926,-1.054638,-1.73705,-2.171313,-2.357425,-0.74445,-0.930563,-0.682413,-1.302788
22,0.9119999999999999,-3.287988,-4.156513,-0.4963,-0.558338,-0.434263,-0.558338,-0.310188,-0.434263,-2.915763,-2.853725,-0.682413,-0.558338,-0.620375,-0.558338,-0.9926,-1.054638,-1.675013,-2.109275,-2.419463,-0.806488,-0.868525,-0.620375,-1.24075
23,0.9079999999999999,-3.350025,-4.094475,-0.4963,-0.620375,-0.434263,-0.434263,-0.434263,-0.434263,-2.853725,-2.791688,-0.682413,-0.4963,-0.620375,-0.620375,-1.054638,-0.9926,-1.675013,-2.171313,-2.357425,-0.806488,-0.930563,-0.620375,-1.302788
24,0.9039999999999999,-3.22595,-4.094475,-0.4963,-0.620375,-0.372225,-0.4963,-0.372225,-0.434263,-2.853725,-2.791688,-0.682413,-0.558338,-0.682413,-0.620375,-1.054638,-1.054638,-1.73705,-2.171313,-2.357425,-0.806488,-0.930563,-0.682413,-1.302788
25,0.8999999999999999,-3.287988,-4.156513,-0.434263,-0.558338,-0.434263,-0.4963,-0.310188,-0.434263,-2.853725,-2.791688,-0.682413,-0.620375,-0.620375,-0.620375,-1.054638,-1.054638,-1.675013,-2.171313,-2.357425,-0.806488,-0.930563,-0.620375,-1.302788
26,0.8959999999999999,-3.287988,-4.094475,-0.4963,-0.620375,-0.434263,-0.4963,-0.434263,-0.434263,-2.853725,-2.72965,-0.682413,-0.558338,-0.682413,-0.558338,-0.9926,-0.9926,-1.73705,-2.171313,-2.419463,-0.806488,-0.930563,-0.682413,-1.24075
27,0.8919999999999999,-3.287988,-4.094475,-0.4963,-0.620375,-0.434263,-0.4963,-0.372225,-0.4963,-2.853725,-2.791688,-0.620375,-0.558338,-0.682413,-0.558338,-1.054638,-1.054638,-1.73705,-2.171313,-2.357425,-0.806488,-0.930563,-0.682413,-1.302788
28,0.8879999999999999,-3.287988,-4.156513,-0.4963,-0.620375,-0.372225,-0.4963,-0.434263,-0.434263,-2.853725,-2.72965,-0.74445,-0.558338,-0.682413,-0.558338,-0.9926,-1.054638,-1.675013,-2.171313,-2.419463,-0.806488,-0.930563,-0.682413,-1.302788
