,voltage,Pb_50_ppb_0,Pb_50_ppb_1,Pb_50_ppb_2,Pb_125_ppb_3,Pb_125_ppb_4,Pb_125_ppb_5,Pb_125_ppb_6,Pb_250_ppb_7,Pb_250_ppb_8,Pb_250_ppb_9,Pb_250_ppb_10,Pb_325_ppb_11,Pb_325_ppb_12,Pb_325_ppb_13,Pb_325_ppb_14,Pb_500_ppb_15,Pb_500_ppb_16,Pb_500_ppb_17,Pb_500_ppb_18,Pb_625_ppb_19,Pb_625_ppb_20,Pb_625_ppb_21,Pb_625_ppb_22,Pb_1000_ppb_23,Pb_1000_ppb_24,Pb_1000_ppb_25,Pb_1000_ppb_26,Pb_750_ppb_27,Pb_750_ppb_28,Pb_750_ppb_29,Pb_750_ppb_30,Pb_875_ppb_31,Pb_875_ppb_32,Pb_875_ppb_33,Pb_875_ppb_34,Pb_50_ppb_35
0,1.0,-0.74445,-0.620375,-0.620375,-0.868525,-1.054638,-0.868525,-1.116675,-1.178713,-1.302788,-1.302788,-1.550938,-1.612975,-1.799088,-1.799088,-2.047238,-1.9852,-2.357425,-2.605575,-3.039838,-2.543538,-2.9778,-3.4741,-4.094475,-4.900963,-5.397263,-6.20375,-6.575975,-3.287988,-3.846325,-4.528738,-4.838925,-3.846325,-4.404663,-5.397263,-5.769488,-0.806488
1,0.996,-0.806488,-0.620375,-0.682413,-0.868525,-1.054638,-0.868525,-1.178713,-1.178713,-1.364825,-1.364825,-1.675013,-1.675013,-1.923163,-1.861125,-2.171313,-2.109275,-2.543538,-2.791688,-3.287988,-2.667613,-3.163913,-3.660213,-4.342625,-5.149113,-5.70745,-6.638013,-6.9482,-3.4741,-4.032438,-4.71485,-5.21115,-4.094475,-4.71485,-5.769488,-6.079675,-0.806488
2,0.992,-0.74445,-0.620375,-0.620375,-0.806488,-0.9926,-0.868525,-1.178713,-1.178713,-1.364825,-1.364825,-1.612975,-1.612975,-1.861125,-1.923163,-2.23335,-2.047238,-2.4815,-2.72965,-3.22595,-2.667613,-3.039838,-3.660213,-4.280588,-5.087075,-5.70745,-6.575975,-6.824125,-3.4741,-4.032438,-4.71485,-5.149113,-4.094475,-4.652813,-5.645413,-6.079675,-0.806488
3,0.988,-0.74445,-0.620375,-0.620375,-0.868525,-0.9926,-0.930563,-1.178713,-1.178713,-1.302788,-1.302788,-1.550938,-1.550938,-1.861125,-1.799088,-2.109275,-2.047238,-2.419463,-2.72965,-3.22595,-2.667613,-3.101875,-3.598175,-4.21855,-5.025038,-5.583375,-6.513938,-6.824125,-3.412063,-3.9704,-4.652813,-5.149113,-4.032438,-4.590775,-5.70745,-6.017638,-0.806488
4,0.984,-0.74445,-0.558338,-0.682413,-0.806488,-0.9926,-0.868525,-1.116675,-1.116675,-1.302788,-1.302788,-1.550938,-1.612975,-1.799088,-1.799088,-2.109275,-2.047238,-2.357425,-2.667613,-3.101875,-2.605575,-3.039838,-3.536138,-4.156513,-5.025038,-5.583375,-6.513938,-6.824125,-3.412063,-3.9704,-4.652813,-5.087075,-3.9704,-4.590775,-5.645413,-5.9556,-0.74445
5,0.98,-0.74445,-0.558338,-0.620375,-0.806488,-0.9926,-0.930563,-1.054638,-1.116675,-1.302788,-1.302788,-1.550938,-1.612975,-1.73705,-1.799088,-2.109275,-2.047238,-2.357425,-2.605575,-3.101875,-2.605575,-3.039838,-3.536138,-4.156513,-5.025038,-5.583375,-6.4519,-6.762088,-3.350025,-3.9704,-4.590775,-5.025038,-3.9704,-4.590775,-5.645413,-5.9556,-0.74445
6,0.976,-0.682413,-0.558338,-0.620375,-0.806488,-0.930563,-0.868525,-1.116675,-1.116675,-1.302788,-1.302788,-1.550938,-1.426863,-1.799088,-1.799088,-2.109275,-1.9852,-2.357425,-2.667613,-3.163913,-2.543538,-3.039838,-3.4741,-4.094475,-4.963,-5.4593,-6.389863,-6.762088,-3.350025,-3.908363,-4.590775,-5.025038,-3.908363,-4.528738,-5.583375,-5.893563,-0.682413
7,0.972,-0.74445,-0.558338,-0.558338,-0.806488,-0.9926,-0.868525,-1.116675,-1.116675,-1.24075,-1.24075,-1.550938,-1.4889,-1.73705,-1.799088,-2.109275,-1.9852,-2.357425,-2.605575,-3.101875,-2.605575,-2.9778,-3.4741,-4.156513,-4.900963,-5.521338,-6.389863,-6.70005,-3.287988,-3.908363,-4.528738,-4.963,-3.908363,-4.4667,-5.521338,-5.893563,-0.74445
8,0.968,-0.620375,-0.4963,-0.558338,-0.74445,-0.9926,-0.868525,-1.054638,-1.054638,-1.24075,-1.24075,-1.4889,-1.550938,-1.73705,-1.73705,-2.047238,-1.923163,-2.295388,-2.605575,-3.163913,-2.543538,-2.915763,-3.412063,-4.032438,-4.900963,-5.521338,-6.327825,-6.638013,-3.287988,-3.846325,-4.528738,-4.963,-3.846325,-4.528738,-5.521338,-5.893563,-0.74445
9,0.964,-0.620375,-0.558338,-0.558338,-0.74445,-0.9926,-0.806488,-0.9926,-1.116675,-1.24075,-1.24075,-1.4889,-1.4889,-1.73705,-1.73705,-2.047238,-1.923163,-2.295388,-2.605575,-3.101875,-2.543538,-2.915763,-3.412063,-4.094475,-4.900963,-5.397263,-6.327825,-6.638013,-3.287988,-3.784288,-4.4667,-4.963,-3.846325,-4.4667,-5.521338,-5.831525,-0.74445
